Date,BTC-open,BTC-high,BTC-low,BTC-close,BTC-vol,BTC-marcap,ETH-open,ETH-high,ETH-low,ETH-close,ETH-vol,ETH-marcap
12-Oct-20,"11,392.64","11,698.47","11,240.69","11,555.36","26,163,972,642","213,950,143,824",374.8,395.12,366.64,387.73,"15,867,455,424","43,805,601,681"
11-Oct-20,"11,296.08","11,428.81","11,288.63","11,384.18","19,968,627,060","210,766,812,992",370.93,377.25,369.83,375.14,"12,584,512,533","42,376,475,415"
10-Oct-20,"11,059.14","11,442.21","11,056.94","11,296.36","22,877,978,588","209,130,239,495",365.4,378.27,365.35,370.97,"13,618,484,324","41,899,893,524"
9-Oct-20,"10,927.91","11,102.67","10,846.85","11,064.46","22,799,117,613","204,827,451,843",351.11,368.31,348.21,365.59,"13,043,501,763","41,287,658,660"
8-Oct-20,"10,669.37","10,945.74","10,562.61","10,915.69","63,314,794,397","202,064,144,550",342.04,352.21,335.65,350.77,"13,461,017,711","39,608,808,457"
7-Oct-20,"10,603.36","10,680.51","10,562.51","10,668.97","37,799,458,436","197,485,816,055",340.94,342.45,334.55,341.81,"11,929,918,060","38,592,810,957"
6-Oct-20,"10,796.31","10,797.58","10,528.89","10,604.41","42,623,695,307","196,281,911,458",353.96,354.99,338,340.82,"12,830,796,112","38,476,195,645"
5-Oct-20,"10,676.53","10,793.51","10,634.60","10,793.34","47,537,578,009","199,769,602,128",352.74,355.21,349.68,353.96,"11,809,507,622","39,954,971,652"
4-Oct-20,"10,550.44","10,686.00","10,534.39","10,669.58","71,251,776,995","197,468,899,357",346.6,354.05,345.13,352.58,"10,696,959,020","39,794,771,396"
3-Oct-20,"10,575.10","10,598.94","10,511.13","10,549.33","44,660,271,563","195,233,191,301",346.22,351.31,344.67,346.52,"10,060,167,889","39,106,512,854"
2-Oct-20,"10,619.82","10,657.84","10,416.69","10,575.98","48,661,453,918","195,716,085,732",352.95,354.12,336.47,346.24,"14,215,390,463","39,069,960,290"
1-Oct-20,"10,795.25","10,933.62","10,472.36","10,619.45","40,023,134,100","196,512,086,756",360.31,369.26,346.48,353.21,"14,679,481,911","39,851,388,059"
30-Sep-20,"10,843.87","10,847.26","10,669.32","10,784.49","44,171,073,700","199,556,965,504",360.04,361.18,353.33,359.94,"11,818,610,610","40,606,130,498"
29-Sep-20,"10,709.65","10,860.00","10,649.50","10,844.64","46,582,396,602","200,660,083,839",354.36,360.35,352.15,359.76,"11,600,013,236","40,581,050,364"
28-Sep-20,"10,776.61","10,945.35","10,703.89","10,709.65","47,762,394,731","198,154,065,044",357.93,366.43,354.55,355.16,"14,258,455,166","40,057,637,361"
27-Sep-20,"10,746.89","10,803.98","10,622.92","10,775.27","53,745,972,818","199,357,967,523",354.96,361.98,349.83,357.44,"13,598,126,926","40,309,981,004"
26-Sep-20,"10,695.58","10,773.00","10,667.28","10,750.72","46,852,525,493","198,893,019,774",352.35,355.85,348.11,355.49,"13,049,148,579","40,085,290,850"
25-Sep-20,"10,761.11","10,777.70","10,578.91","10,692.72","39,348,590,957","197,809,986,226",349.41,357.77,339.02,352.18,"14,381,086,966","39,707,914,546"
24-Sep-20,"10,248.79","10,771.06","10,231.49","10,760.07","47,144,380,902","199,045,623,654",320.99,351.46,318.55,349.36,"15,714,304,470","39,384,347,822"
23-Sep-20,"10,535.49","10,537.83","10,197.86","10,246.19","23,788,661,867","189,529,920,746",344.59,344.67,318.97,321.12,"12,899,346,599","36,196,531,454"
22-Sep-20,"10,459.62","10,568.08","10,382.73","10,538.46","23,621,787,804","194,932,197,947",341.72,346.6,336.86,344.5,"12,732,578,043","38,830,213,878"
21-Sep-20,"10,934.93","10,988.30","10,380.26","10,462.26","28,884,999,244","193,514,327,128",371.4,375.74,336.07,341.79,"17,398,267,133","38,519,366,615"
20-Sep-20,"11,095.87","11,095.87","10,814.48","10,938.27","24,699,523,788","202,308,927,892",385.6,385.6,367.09,371.05,"12,292,195,784","41,812,641,074"
19-Sep-20,"10,933.75","11,134.09","10,909.62","11,094.35","22,764,204,008","205,185,696,336",384.04,387.08,378.72,385.54,"11,049,507,684","43,440,360,815"
18-Sep-20,"10,951.82","11,034.91","10,829.66","10,944.59","26,341,903,912","202,405,809,881",389.34,391.9,376.96,384.36,"14,108,357,740","43,302,193,327"
17-Sep-20,"10,973.25","11,037.42","10,774.63","10,948.99","38,151,810,523","202,475,761,712",365.87,393.9,364.8,389.02,"19,899,531,080","43,821,351,213"
16-Sep-20,"10,797.76","11,100.12","10,704.88","10,974.90","30,769,986,455","202,942,925,722",364.74,372.77,356.68,365.81,"16,107,612,177","41,202,147,932"
15-Sep-20,"10,677.75","10,938.63","10,656.46","10,796.95","32,509,451,925","199,641,896,762",377.15,381.51,363.61,364.84,"16,140,584,321","41,087,642,853"
14-Sep-20,"10,328.73","10,800.01","10,266.01","10,680.84","35,453,581,940","197,484,272,947",365.7,384.49,357.57,377.27,"17,536,695,361","42,482,307,939"
13-Sep-20,"10,452.40","10,577.22","10,224.33","10,323.76","36,506,852,789","190,870,759,062",387.52,388.96,354.34,365.57,"15,005,899,191","41,160,025,962"
12-Sep-20,"10,409.86","10,578.84","10,292.39","10,442.17","36,750,077,324","193,049,493,277",374.6,387.54,367.84,387.18,"13,295,405,814","43,588,199,422"
11-Sep-20,"10,369.03","10,434.92","10,140.84","10,400.91","45,201,121,775","192,275,791,669",368.12,376.63,355.58,374.7,"27,296,269,329","42,177,302,259"
